DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY
2022-08-21,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al-Shabaab,117,21,"Two car bombs exploded at the Hayat Hotel in Mogadishu. Afterwards gunmen from al-Shabaab besieged the hotel, shooting at people and taking hostages. After 30 hours the security forces ended the attack. 21 people were killed in the attack and 117 were injured.","2.0349312, 45.3419183",Explosion
2022-07-16,Indonesia,Papua,,South-Eastern Asia,Asia,West Papua National Liberation Army,2,10,"Around 20 gunmen attacked the village of Nogolait, Highland Papua. 10 men were shot to death and two others became injured. The West Papua National Liberation Army is suspected to be behind the attack.","-4.318185048526521, 138.18016262274278",Assault
2022-06-28,India,Rajasthan,Udaipur,Southern Asia,Asia,Islamists,0,1,"A Hindu tailor was murdered by two Muslim assailants on 28 June 2022 in Udaipur, in the Indian state of Rajasthan. The assailants captured the attack on camera and circulated the video online. In what seems to be a second video (taken after the attack), the assailants boasted about the murder to avenge the insult to Islam and also made threats against India's Prime Minister Narendra Modi.","24.612639887486125, 73.69126308833513",Assault
2022-06-25,Norway,,Oslo,Northern Europe,Europe,,10,2,"Two people were killed and 21 injured, 10 of them seriously, in a busy nightlife district in Oslo.","59.913751261491804, 10.75215147566024",Assault
2022-06-18,Mali,,,Western Africa,Africa,Macina Liberation Front,,132,"Unidentified gunmen killed 132 civilians in Diallassagou and nearby villages in Mopti Region. The attackers also burned huts, houses, and stole cattle. The attack was blamed on the Macina Liberation Front.","16.3700359,-2.2900239",Assault
2022-05-05,Israel,,,Western Asia,Asia,As'ad Alrafa'ani and Sabhi Shajir,4,3,"In Central Israel, two Palestinian men attacked people celebrating Israel's Independence Day in a park with axes. Three people were killed and four injured.","31.5313113,34.8667654",Assault
2022-04-27,Syria,,,Western Asia,Asia,Islamic State,4,7,"In Deir ez-Zor Governorate, Islamic State militants attacked the house of former Syrian Democratic Forces spokesman Nouri Hamish, during iftar. Seven people, including Hamish, were killed and four others injured.","34.6401861,39.0494106",Assault
2022-04-26,Pakistan,Sindh,Karachi,Southern Asia,Asia,Baloch Liberation Army,4,4,"A female suicide bomber struck a van near the University of Karachi's Confucius Institute, killing three Chinese citizens and their Pakistani driver. The Balochistan Liberation Army claimed responsibility for the attack.","24.8546842,67.0207055",Explosion
2022-04-22,Afghanistan,Kunduz Province,Kunduz,Southern Asia,Asia,Islamic State - Khorasan Province,43,33,A bombing attack at the Sufi Khanaqa-e-Malawi Sikandar mosque killed 33 people and injured 43 others. The Islamic State claimed responsibility for the attack.,"36.8707187,68.7563528",Explosion
2022-04-21,Afghanistan,,,Southern Asia,Asia,Islamic State - Khorasan Province,87,31,A remote-controlled booby trapped bag exploded in the Shia Seh Dokan mosque in Balkh Province killed 31 people and injured 87 others. The Islamic State claimed the attack as part of an ongoing global campaign to avenge the deaths of its former leader and spokesman.,"33.7680065,66.2385139",Explosion
2022-04-19,Afghanistan,Kabul,,Southern Asia,Asia,Islamic State - Khorasan Province,25,6,"Three bombs targeted the Abdul Rahim Shahid School in the Shia Hazara neighborhood of Kabul. 6 people were killed and 25 others, including students, were injured. No group has claimed responsibility yet, but the Islamic State is suspected.","34.5260109,69.1776838",Explosion
1986-07-25,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,,0,0,"A bomb was dismantled outside the U.S. Consulate in Arab east Jerusalem, 2 days before the scheduled visit to Israel of Vice President George Bush. The bomb, which weighed 5.5 pounds, was safely detonated by explosives experts. ","31.7788242,35.2257626",Explosion
1986-07-23,Nicaragua,,,,,,0,0,"A Belgian volunteer worker was kidnapped by Contras north of Managua. After being held by the group for 12 hours, the Belgian was released. According to the director of Oxfam (Oxford Committee for Famine Relief), Pierre Diron was teaching a group of adults in the community when several individuals dressed in olive drab showed up. They had the FDN USA initials on their uniforms. After lecturing Diron against communism and atheism, the Contras tied him up and left him in the house. Neighbors rescued him hours later. ","12.6090157,-85.2936911",Hostage
1986-07-22,Spain,,,,,Basque Fatherland and Freedom (ETA),0,0,A French registered car was burned by ETA in retaliation for recently increased French police cooperation with Madrid. ,"39.3260685,-4.8379791",
1986-07-21,France,Île-de-France,Paris,Western Europe,Europe,Action Directe,0,0,A car bomb exploded outside the headquarters of the Organization for Economic Cooperation and Development. The blast was claimed by Action Direct. ,"48.8588897,2.3200410217200766",Explosion
1986-07-20,Israel,Tel Aviv District,Tel Aviv,Western Asia,Asia,,1,0,A small bomb exploded in Tel Aviv just as nearby cafes were full and hundreds of people were on their way to theaters in the vicinity. One teenager was injured by the blast. The bomb had been hidden in a garbage pail behind a tree. Police detained about 100 Arabs for questioning. ,"32.0852997,34.7818064",Explosion
1986-07-20,Sudan,,,,,Sudan People's Liberation Army (SPLA),0,0,Two American nuns were held by the Sudan People's Liberation Army and forced to walk 27 miles through the Sudanese countryside after being released by them. Details of the incident were sketchy. The guerrillas claimed that they had actually rescued the nuns after they were caught in cross fire during a battle near Juba between government troops and the rebels. The nuns were part of the Maryknoll order and had lived in the Sudan since 1983. ,"14.5844444,29.4917691",
1986-07-18,Chile,Región Metropolitana de Santiago,Santiago,South America,Americas,,0,0,"A bomb shattered the windows of the Eastern Air Lines office in Santiago, but there were no casualties. No group claimed responsibility. ","-33.4377756,-70.6504502",Explosion
1986-07-18,Colombia,,,,,Pedro Leon Arboleda (PLA),0,0,The Pedro Leon Arboleda (PLA) guerrilla commandos claimed responsibility for 2 moderately powerful bombs which went off outside the Centro Colombo Americano. The PLA staged similar attacks on the Honduran Consulate and the Colombian Soviet Institute recently. ,"4.099917,-72.9088133",Explosion
1986-07-17,Lebanon,Beirut Governorate,Beirut,Western Asia,Asia,,0,0,A Saudi Arabian was kidnapped and then freed in the first kidnapping in West Beirut since Syrian troops were deployed to keep order there 12 days earlier. ,"33.8959203,35.47843",Hostage
1986-07-14,Spain,Madrid,Madrid,Southern Europe,Europe,Euskal Herritarrok and Herri Batasuna (ETA),32,12,"Plaza Republica Dominicana bombing. The Plaza Republica Dominicana bombing was an attack carried out by the armed Basque separatist group ETA in Madrid, Spain on 14 July 1986, which killed 12 people and injured a further 32. ","40.4167047,-3.7035825",Explosion
1986-07-14,Colombia,,,South America,Americas,National Liberation Army of Colombia (ELN),0,0,"The ELN was responsible for bombing the Zulia Cano Limon oil pipeline near the city of Cucuta. Three bombs went off at 1:00 am, severely damaging the line. The pipeline was built by the West German Mannesmann Corporation and is used by Occidental Petroleum to move oil out of the fields for export. ","4.099917,-72.9088133",Explosion
1986-07-13,Pakistan,,,,,,15,10,"A bomb exploded in a rest home at the Pakistani border settlement of Teri Mengal, killing 10 Afghans and injuring 15. Pakistan has blamed several bombings in the frontier region on the Afghan government. ","30.3308401,71.247499",Explosion
1986-07-10,Lebanon,Beirut Governorate,Beirut,Western Asia,Asia,,0,0,A car bomb went off in front of a building housing British Embassy employees in Jall al Dib. Only material damage resulted. ,"33.8959203,35.47843",Explosion
1986-07-10,Israel,,,,,Popular Front for the Liberation of Palestine (PFL),9,2,Four Arab terrorists were killed when their rubber dinghy was intercepted north of the Lebanese border. Two Israeli soldiers were killed and 9 injured in the skirmish. The apparent target had been Israeli civilians in northern Israel. The PFLP claimed responsibility for the trespass. ,"31.5313113,34.8667654",
1986-07-08,Peru,Lima,Lima,South America,Americas,Shining Path (SL),1,1,"A guerrilla believed to be a member of Sendero Luminoso, slipped into the Soviet Embassy compound in Lima disguised as a messenger. A security guard shot at the guerrilla and a bomb went off in the rebel's hands, killing him instantly. A firefight erupted immediately afterwards in front of the embassy. A guard was injured. ","-12.0621065,-77.0365256",Explosion
1986-07-04,Peru,Lima,Lima,South America,Americas,Shining Path (SL),0,0,An explosive device was thrown at the Italian Embassy in Lima. The incident was attributed to Sendero Luminoso. ,"-12.0621065,-77.0365256",Explosion
1986-07-01,France,Île-de-France,Versailles,Western Europe,Europe,,0,1,Libyan businessman Mohammed Bouzou was assassinated by masked gunmen who stormed his fashionable Versailles home. A relative of Bouzou had been an official in the previous government and Qadhafi elements are presumed to be responsible. ,"48.8035403,2.1266886",Assault
1986-06-30,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,Al Fatah,5,0,"A bomb exploded on a city bus, injuring 5 people. The Fatah Uprising took responsibility for the blast, as well as for another bomb attack on a bus in northern Jerusalem which slightly injured 1 woman. ","31.7788242,35.2257626",Explosion
1986-06-30,Colombia,,,,,National Liberation Army of Colombia (ELN),0,0,"On the eve of the Pope's visit, ELN guerrillas dynamited a natural gas liquification plant owned by an Exxon subsidiary. ","4.099917,-72.9088133",
1986-06-29,Lebanon,,,,,,0,0,"In August, the wife of U.S. businessman Fa'iq Warih, reported that Warih had been missing since 6/29 when he arrived in Beirut from Damascus on a 10 day trip. Warih is of Syrian origin. ","33.8750629,35.843409",
1986-06-27,Colombia,Antioquia,Medellín,South America,Americas,Pedro Leon Arboleda (PLA),0,0,A bomb went off at the Soviet Colombian center in Medellin. A group calling itself the Pedro Leon Arboleda (PLA) claimed responsibility. ,"6.2443382,-75.573553",Explosion
1986-06-26,Colombia,Valle del Cauca,Cali,South America,Americas,Movement of April 19 (M-19),0,0,The M 19 detonated a weak bomb near the building where the Peruvian Embassy has its offices in Cali. ,"3.4517923,-76.5324943",Explosion
1986-06-26,Spain,Madrid,Madrid,Southern Europe,Europe,Al Fatah,12,0,"A bomb exploded at the El Al counter in Madrid's Barajas Airport, injuring a dozen people. The bomb had been hidden in a suitcase, and the person carrying the bag was unaware of its contents. The bomb went off when a security man observed smoke coming out of a suitcase and ordered the conveyor belt stopped. The bomb detonated upon opening of the suitcase. The owner of the luggage had been paid $1,000 to deliver what he thought to be a shipment of illegal drugs to Israel. A Palestinian who had been under surveillance was arrested and he confessed to having planted the bomb in the suitcase and stated that the bomb had been meant to explode while the El Al aircraft was in flight. The man claimed membership in the Syrian backed Abu Musa organization, Al Fatah Uprising. ","40.4167047,-3.7035825",Explosion
1986-06-26,Spain,Basque Country,Bilbao,Southern Europe,Europe,Basque Fatherland and Freedom (ETA),1,0,A policeman was injured by an explosion that went off at the U.S. 3 M company in Bilbao. ETA was suspected. ,"43.2630018,-2.9350039",Explosion
1986-06-26,Peru,,,,,Shining Path (SL),40,7,"Sendero Luminoso bombed a tourist train en route to Cuzco, killing 7 people and injuring forty. One American was killed. ","-6.8699697,-75.0458515",Explosion
1986-06-23,Egypt,Cairo Governorate,Cairo,Northern Africa,Africa,Hezbollah,15,10,The Islamic Jihad claimed responsibility for a car bomb which went off about 30 kilometers south of Cairo. The explosion killed 10 people and injured 15 others. The target was unclear. ,"30.0443879,31.2357257",Explosion
1986-06-22,Peru,Lima,Lima,South America,Americas,Tupac Amaru Revolutionary Movement (MRTA),0,0,The Honduran Embassy was the target of a bomb attack in Lima which caused extensive damage. The MRTA was responsible. ,"-12.0621065,-77.0365256",Explosion
1986-06-21,Austria,Vienna,Vienna,Western Europe,Europe,Abu Nidal Organization (ANO),0,0,Two missiles placed on launching pads were discovered aimed at the Iraqi embassy. Unconfirmed reports attributed this incident to members of the Abu Nidal group. ,"48.2083537,16.3725042",
1986-06-19,Greece,Attica Region,Athens,Southern Europe,Europe,,0,0,A bomb was defused at the entrance to the Italian Consulate in Athens. It was the second incident against an Italian target in Athens that day. ,"37.9839412,23.7283052",Explosion
1986-06-18,Kuwait,,,,,United Arab Revolution,1,0,"The Al Ahmadi oil complex in southern Kuwait was rocked by 3 simultaneous explosions blamed on saboteurs. The oil wells and 2 pipeline networks were set ablaze and 9000000 barrels of crude oil were threatened. One worker was slightly injured. In a telephone call to a foreign news agency in Amman a week later, a group calling itself the United Arab Revolution claimed responsibility for the blast. The speaker claimed that the group is committed to attaining Arab unity and boycotting the United States and the Arab parties which are its allies.In June 1987 6 Kuwaiti Shiite Moslems (two of them still at large) were sentenced to hang for the sabotage. They were reportedly following orders directly from Iran. ","29.2733964,47.4979476",Explosion
1986-06-17,Sweden,,,,,,0,0,The U.S. Ambassador to Sweden was protected from an apparent attack when bodyguards observed 2 men on the grounds of the mansion near where the Ambassador was a dinner guest. Shots were fired at the pair who succeeded in evading the police. The authorities believe they may have been acting on behalf of Middle East interests intent on avenging the U.S. air strike on Libya in April. ,"59.6749712,14.5208584",Assault
1986-06-15,Guatemala,Guatemala Department,Guatemala City,Central America,Americas,,0,1,"A member of the Jehovah's Witnesses religious group, Norma Jane Wagon, was found dead inside her car in Guatemala City. The U.S. citizen had been taken to an undisclosed location and locked inside her car, and then an explosive device was set off underneath the car. The case is under investigation. ","14.6222328,-90.5185188",Explosion
1986-06-10,Greece,Attica Region,Athens,Southern Europe,Europe,,0,1,"A senior member of the Palestine Liberation Organization, Khalid Nazal, was murdered outside a central Athens hotel. While some reports blame PLO infighting, the PLO blames the Israeli Mossad for the assassination. ","37.9839412,23.7283052",
1986-06-06,Lebanon,Beirut Governorate,Beirut,Western Asia,Asia,Lebanese Armed Revolutionary Faction (LARF),0,0,A group demanding the release of detainees in Italian and French prisons blew up a car belonging to the Italian Embassy in East Beirut and threatened more attacks against European interests. The group Committee for the Defense of Arab and Middle East Political Detainees in Europe claimed responsibility. They may be the same as the Committee for Solidarity with Arab and Middle East Political Prisoners (CSPPA) and/or affiliated with LARF. ,"33.8959203,35.47843",
1986-06-06,Pakistan,Khyber Pakhtunkhwa,Peshawar,Southern Asia,Asia,,30,5,"A car bomb exploded in front of the building occupied by the Afghan consulate in Peshawar, killing 5 people and wounding at least 30. ","34.0123846,71.5787458",Explosion
1986-06-05,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,,2,0,Two women were wounded when a bomb exploded in a supermarket in the Jewish section of Jerusalem. The attack coincided with the week's anniversary of the 1982 Israeli invasion of Lebanon as well as the 19th anniversary of the 1967 Middle East war. ,"31.7788242,35.2257626",Explosion
1986-06-04,Guatemala,,,,,Rebel Armed Forces of Guatemala (FAR),0,0,Members of the Guatemalan National Revolutionary Unity (FAR) claimed responsibility for the downing of a helicopter belonging to the Exxon Company. The guerrillas also took control of the Exxon camp in El Peten for 2 hours. ,"15.5855545,-90.345759",
1986-05-29,Egypt,Cairo Governorate,Cairo,Northern Africa,Africa,Hezbollah,0,0,A small bomb went off at the Egyptian American bank headquarters in Cairo. There was no damage and no claim of responsibility. In July 1987 members of a terrorist cell supported by Iran and Hezbollah from Lebanon were arrested in Egypt. Some of the members of the cell have cooperated with authorities and admitted to having taken part in this attack. ,"30.0443879,31.2357257",Explosion
1986-05-28,Peru,,,,,,0,0,An explosion believed set off by Maoist rebels damaged a U.S. cultural center in northern Peru. ,"-6.8699697,-75.0458515",Explosion
1986-05-27,Pakistan,Sindh,Karachi,Southern Asia,Asia,Abu Nidal Organization (ANO),5,1,"A security guard was killed and 5 others were injured when a bomb went off outside the Pan Am office in Karachi. Although no group claimed responsibility, Abu Nidal is suspected. ","24.8546842,67.0207055",Explosion
1986-05-25,Israel,,,Western Asia,Asia,,0,0,"A bomb went off at a soldier's hitchhiking station in Ashqelon, 30 miles south of Tel Aviv. ","31.5313113,34.8667654",Explosion
1986-05-25,Israel,Tel Aviv District,Tel Aviv,Western Asia,Asia,,1,0,"Two bombs went off in central Israel, seriously injuring 1 man. One of the bombs went off near a bus station, the other near an apartment house just outside of Tel Aviv. Earlier in the day a bomb went off at a soldier's hitchhiking post. ","32.0852997,34.7818064",Explosion
1986-05-25,Canada,British Columbia,Campbell River,Northern America,Americas,,1,0,"A Punjab cabinet minister, Malkiad Singh Sidhu, was the victim of an assassination attempt by 4 Sikhs in Campbell River. Sidhu was shot 4 times in the chest while he was driving in his car. The 4 men were taken into custody, and in 1987 were found guilty of attempted murder. ","50.023071,-125.2441538",
1986-05-23,Haiti,,,,,,0,1,"Unidentified intruders broke into the house of an American doctor, cut the phone line and entered the second floor bedroom where he and his wife were asleep. As flashlights were pointed into the couple's eyes, 1 of the assailants fired a bullet directly into his heart. Then they left, shouting to each other in Haitian Creole. The victim was an American physician who was just completing a rural health project funded by the U.S. Agency for International Development (AID) in Haiti. The case is still under investigation. ","19.1399952,-72.3570972",Assault
1986-05-20,Mexico,Jalisco,Guadalajara,Central America,Americas,,0,0,A Molotov cocktail was hurled at the U.S. Consulate in Guadalajara by unidentified persons. ,"20.6720375,-103.338396",
1986-05-20,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,Palestinian Revolution Forces General Command,6,0,Members of the Palestinian Revolutionary Forces General Command claimed responsibility for an attack on an Israeli military vehicle in Jerusalem. The vehicle was damaged and 6 military personnel were injured. ,"31.7788242,35.2257626",
1986-05-20,Lebanon,,,,,Hezbollah,0,0,The bodyguards of the U.S. ambassador were kidnapped and held by members of Hezbollah for several hours until negotiations with the U.S. Embassy security officers secured their release. ,"33.8750629,35.843409",Hostage
1986-05-19,Chile,Maule,Talca,South America,Americas,Manuel Rodriguez Patriotic Front (FPMR),0,0,The French Consulate was damaged by an explosion in Talca and police suspect the Manuel Rodriguez Patriotic Front to be involved. The target of the explosion may have actually been the Housing and Urban Development Service ,"-35.4266305,-71.6661153",Explosion
1986-05-18,Portugal,Guarda,Lisbon,Southern Europe,Europe,Popular Forces of April 25,0,0,"The NATO commmand post near Lisbon was hit by a mortar shell just before Secretary of Defense Weinberger arrived. No 1 was injured in the attack. FP 25 claimed credit, describing the act as retaliation for the NATO role in the U.S. raid on Libya. ","38.7077507,-9.1365919",
1986-05-18,Colombia,Capital District,Bogota,South America,Americas,National Liberation Army of Colombia (ELN),0,0,A bomb exploded at an American Evangelist church in Bogota. The ELN claimed responsibility for the blast. ,"4.6533326,-74.083652",Explosion
1986-05-17,Brazil,Rio de Janeiro,Rio de Janeiro,South America,Americas,,0,0,A homemade bomb went off at the Laranjeiras Palace where Salvadoran President Jose Napoleon Duarte was to have dinner with the governor of Rio de Janeiro. The bomb destroyed a commemorative plaque but caused no injuries. ,"-22.9110137,-43.2093727",Explosion
1986-05-17,Spain,,,,,Basque Fatherland and Freedom (ETA),0,0,Several French trucks were attacked by ETA members using automatic weapons. ,"39.3260685,-4.8379791",
1986-05-16,France,Île-de-France,Paris,Western Europe,Europe,Action Directe,1,0,Direct Action claimed responsibility for explosives which were hurled at the Paris headquarters of Interpol. A guard who was on duty was injured in the attack. ,"48.8588897,2.3200410217200766",Explosion
1986-05-14,Indonesia,Jakarta,Jakarta,South-Eastern Asia,Asia,Japanese Red Army (JRA),0,0,Rockets were fired at the U.S. and Japanese embassies and a car bomb went off outside a building housing Canada's mission. No injuries resulted from the attacks. Anonymous telephone callers in London and Paris claimed responsibility on behalf of a group called the Anti Imperialist International Brigades. This group is believed by authorities in Tokyo to be a unit of the Japanese Red Army. The action was linked to the recent 7 nation summit in Tokyo. There is speculation the attacks were perpetrated by a small extremist group with the possible support of Libya. The police arrested a Japanese man as he tried to flee the hotel from which the rocket was fired at the Japanese Embassy. Reportedly 3 Libyans who had been seen with this man are being sought. Indonesia has the largest Moslem population of any country in the world and the current government is determined to suppress Islamic radicalism. In September 1996 a male member of the Japanese Red Army was charged with involvement in the bombing. ,"-6.1753942,106.827183","Assault,Explosion"
1986-05-13,Egypt,,,,,,0,0,A U.S. military vessel came under fire as it was passing through the Suez Canal. Egyptian authorities detained a young man in connection with the shootings who was seen driving a car along a prohibited military zone. ,"26.2540493,29.2675469",Assault
1986-05-12,Colombia,Capital District,Bogota,South America,Americas,Movement of April 19 (M-19),0,0,A bomb exploded at the joint offices of British Airways and Lufthansa in Bogota. The M 19 was responsible. ,"4.6533326,-74.083652",Explosion
1986-05-12,Lebanon,,,,,,0,0,The driver of the Indian charge d'affaires was kidnapped by unidentified gunmen. They left him on a road after beating him and stealing his car. ,"33.8750629,35.843409","Assault,Hostage"
1986-05-07,Lebanon,Beirut Governorate,Beirut,Western Asia,Asia,Hezbollah,0,0,"A retired French auto dealer was kidnapped in Beirut by a group calling itself the Revolutionary Justice Organization, reportedly a cover for Hezbollah. Camille Sontag was traveling with his wife, Blanche, when they were intercepted by 2 gunmen in militia uniforms. One held a gun to Mrs. Sontag's head and the other pulled her husband from the car. Sontag was released by his captors November 11, 1986. ","33.8959203,35.47843","Assault,Hostage"
1986-05-05,Germany,Berlin,,Western Europe,Europe,,0,1,A former employee of Libya's diplomatic mission in Bonn who had informed on Libyan terrorist plans was found murdered in an East Berlin park. The victim's body was found 2 weeks after arrests were made in connection with the West Berlin discotheque bombing which prompted the U.S. air strike on Libya. ,"52.5170365,13.3888599",Explosion
1986-05-05,Guatemala,,,,,Rebel Armed Forces of Guatemala (FAR),0,0,"Members of FAR attacked Geosol installations, burning 1 rig and setting fire to several vehicles. Geosol is an Exxon subsidiary. The insurgents warned that Americans taking part in exploratory activities in Guatemala would be attacked again. ","15.5855545,-90.345759",
1986-05-04,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,Al Fatah,0,0,Force 17 claimed responsibility for a bomb that went off in front of a bakery in Jerusalem. No casualties resulted but there was minor property damage. Force 17 claimed it had carried out the attack because the bakery was used by enemy soldiers. ,"31.7788242,35.2257626",Explosion
1986-05-04,Japan,Tokyo,Tokyo,Eastern Asia,Asia,Chukakuha (Middle Core Faction),0,0,"The Middle Core Faction (Chukakuha) was believed responsible for 5 homemade rockets which were fired at the state guest house during welcoming ceremonies there for the leaders of the industrial nations meeting in Tokyo. The rockets missed the Akasaka Palace and landed on the street near the Canadian Embassy, south of the palace grounds. The missiles had been fired from an apartment house about 1.7 miles from the Palace and had been set off by a timing device. The timing device had been used not only to fire the rockets but also to open the window. The attackers had left the room locked. ","35.6828387,139.7594549",Assault
1986-05-04,Germany,,,,,,0,0,A bomb exploded near a fuel depot at a U.S. Army barracks in the town of Kirchheimbolanden at approximately 3am. The bomb had been attached to a military truck. No casualties resulted but 3 fuel storage tanks were destroyed and property damage was estimated at about $45000. ,"51.0834196,10.4234469",Explosion
1986-05-03,Sri Lanka,Western Province,Colombo,Southern Asia,Asia,Liberation Tigers of Tamil Eelam (LTTE),40,21,"21 persons were killed and another 40 injured when a bomb exploded aboard a Sri Lankan state run airliner at Colombo International Airport. The flight's departure had been delayed for 15 minutes. Had the flight been on time, and therefore airborne at the time the bomb went off, it is thought that all 126 passengers would have been killed. Tamil separatists were responsible. A customs officer told Sri Lanka police that terrorists had coerced him into planting a bomb aboard the jet by threatening to kill his family. Among the dead were 2 Japanese, a French citizen, 3 Ceylonese, a West German, and 2 people from the Maldive Islands. Three of the others were believed to be Britons. ","6.9387469,79.8541134",Explosion
1986-05-03,Sri Lanka,,,Southern Asia,Asia,Liberation Tigers of Tamil Eelam (LTTE),41,21,"LTTE bomb explodes aboard Air Lanka flight carrying mainly French, British and Japanese tourists killing 21 (including 13 foreigners of whom 3 British, 2 German, 3 French, 2 Japanese, 1 Maldivian and 1 Pakistani) and injuring 41 on Bandaranaike International Airport. ","7.5554942,80.7137847",Explosion
1986-05-03,Colombia,,,South America,Americas,,0,1,"American schoolteacher Joan Marie Roroff Albel was stabbed in the heart in Lomalinda, a jungle province where the Summer Institute of Linguistics has its headquarters. One of the Institute's translators, Chester Bitterman, was kidnapped and murdered by leftist guerrillas in 1981. The institute has been accused of interfering with Indians' traditions. ","4.099917,-72.9088133","Assault,Hostage"
1986-05-02,Spain,Madrid,Madrid,Southern Europe,Europe,,0,0,"Two terrorists who belong to the group Call of Jesus Christ and claim to serve Libya, were among 10 terrorists arrested in an unsuccessful attempt to bomb the Bank of America in Madrid. The two, who claim Libyan sponsorship, were caught while placing 4 kilos of explosives in the bank. They say they were promised $70,000 to carry out attacks against U.S. businesses interests, including American businesses in Spain. They also admitted to having taken part in a recent bombing of an Air France office in Lisbon. Right wing Spaniards were among those arrested in the attempted bank bombing. ","40.4167047,-3.7035825",Explosion
1986-05-01,Argentina,,,South America,Americas,,0,0,Guerrillas opened fire with automatic weapons on the Chilean Consulate in Mar del Plata. ,"-34.9964963,-64.9672817",
1986-05-01,South Korea,,,,,,0,0,A firebomb was thrown at a taxi in which an American officer and his wife were passengers. The bomb failed to ignite. The incident took place the day after a brawl occurred between U.S. soldiers and Koreans in a bar. ,"36.638392,127.6961188",Explosion
